"flujo_codigo";"flujo_nombre";"periodo_anio";"periodo_mes";"pais_codigo";"pais_nombre";"taric";"euros";"kilos";
"I";"Importación";"2006";"";"660";"Afganistán";"08";"540,86";"105";
"I";"Importación";"2006";"";"660";"Afganistán";"38";"14823,97";"95";
"I";"Importación";"2006";"";"660";"Afganistán";"43";"5766,55";"40";
"I";"Importación";"2006";"";"660";"Afganistán";"48";"20346";"20757,4";
"I";"Importación";"2006";"";"660";"Afganistán";"57";"23495,66";"1565";
"I";"Importación";"2006";"";"660";"Afganistán";"61";"570,37";"1";
"I";"Importación";"2006";"";"660";"Afganistán";"62";"5104,92";"106";
"I";"Importación";"2006";"";"660";"Afganistán";"73";"1461,82";"5";
"I";"Importación";"2006";"";"660";"Afganistán";"84";"908,47";"5,48";
"I";"Importación";"2006";"";"660";"Afganistán";"85";"504,31";"8";
"I";"Importación";"2006";"";"660";"Afganistán";"93";"200";"20";
"I";"Importación";"2006";"";"660";"Afganistán";"94";"14237,37";"7400";
"I";"Importación";"2006";"";"660";"Afganistán";"99";"3000";"195";
"I";"Importación";"2006";"";"070";"Albania";"03";"2846,5";"1485,6";
"I";"Importación";"2006";"";"070";"Albania";"08";"61959";"60255";
"I";"Importación";"2006";"";"070";"Albania";"09";"95686,17";"98620";
"I";"Importación";"2006";"";"070";"Albania";"12";"131887,53";"78097";
"I";"Importación";"2006";"";"070";"Albania";"28";"592";"25";
"I";"Importación";"2006";"";"070";"Albania";"30";"302997,28";"3256";
"I";"Importación";"2006";"";"070";"Albania";"38";"59158,07";"50";
"I";"Importación";"2006";"";"070";"Albania";"39";"46012,67";"6952";
"I";"Importación";"2006";"";"070";"Albania";"42";"5056,68";"151";
"I";"Importación";"2006";"";"070";"Albania";"44";"36456,02";"0";
"I";"Importación";"2006";"";"070";"Albania";"48";"1568028,31";"815552";
"I";"Importación";"2006";"";"070";"Albania";"49";"2994,11";"188";
"I";"Importación";"2006";"";"070";"Albania";"53";"7212";"1297";
"I";"Importación";"2006";"";"070";"Albania";"56";"936,99";"9";
"I";"Importación";"2006";"";"070";"Albania";"59";"7800,96";"0";
"I";"Importación";"2006";"";"070";"Albania";"60";"55,5";"3";
"I";"Importación";"2006";"";"070";"Albania";"61";"15849,38";"24";
"I";"Importación";"2006";"";"070";"Albania";"62";"241064,73";"6040";
"I";"Importación";"2006";"";"070";"Albania";"64";"111831,51";"50,91";
"I";"Importación";"2006";"";"070";"Albania";"68";"13489,44";"6635";
"I";"Importación";"2006";"";"070";"Albania";"70";"12121,27";"3900";
"I";"Importación";"2006";"";"070";"Albania";"76";"2016,73";"210";
"I";"Importación";"2006";"";"070";"Albania";"84";"5318,05";"23,5";
"I";"Importación";"2006";"";"070";"Albania";"85";"4532,32";"321";
"I";"Importación";"2006";"";"070";"Albania";"87";"6946,48";"2761";
"I";"Importación";"2006";"";"070";"Albania";"90";"69728,45";"254";
"I";"Importación";"2006";"";"070";"Albania";"95";"10578,1";"0";
"I";"Importación";"2006";"";"070";"Albania";"97";"15722,9";"2,5";
"I";"Importación";"2006";"";"004";"Alemania";"01";"36963226,45";"495321,16";
"I";"Importación";"2006";"";"004";"Alemania";"02";"163491878,36";"41851887,01";
"I";"Importación";"2006";"";"004";"Alemania";"03";"33651556,06";"7131783,72";
"I";"Importación";"2006";"";"004";"Alemania";"04";"292149484,72";"175827389,23";
"I";"Importación";"2006";"";"004";"Alemania";"05";"20739922,63";"4825437,74";
"I";"Importación";"2006";"";"004";"Alemania";"06";"1687320,58";"679264,94";
"I";"Importación";"2006";"";"004";"Alemania";"07";"14065804,68";"16732854,20";
"I";"Importación";"2006";"";"004";"Alemania";"08";"53730198,63";"33090891,28";
"I";"Importación";"2006";"";"004";"Alemania";"09";"61197535,7";"25881787,03";
"I";"Importación";"2006";"";"004";"Alemania";"10";"164639314,15";"1340189810,20";
"I";"Importación";"2006";"";"004";"Alemania";"11";"31878649,39";"114617834,58";
"I";"Importación";"2006";"";"004";"Alemania";"12";"17040410,31";"9067763,76";
"I";"Importación";"2006";"";"004";"Alemania";"13";"12849126,26";"1896746,48";
"I";"Importación";"2006";"";"004";"Alemania";"14";"42556,78";"24883,65";
"I";"Importación";"2006";"";"004";"Alemania";"15";"23395068,1";"30206985,16";
"I";"Importación";"2006";"";"004";"Alemania";"16";"63719122,57";"19081635,95";
"I";"Importación";"2006";"";"004";"Alemania";"17";"47093065,25";"65447213,92";
"I";"Importación";"2006";"";"004";"Alemania";"18";"73322555,29";"32820190,41";
"I";"Importación";"2006";"";"004";"Alemania";"19";"156610654,53";"84629380,47";
"I";"Importación";"2006";"";"004";"Alemania";"20";"77129619,11";"62871796,67";
"I";"Importación";"2006";"";"004";"Alemania";"21";"119090531,12";"55535403,99";
"I";"Importación";"2006";"";"004";"Alemania";"22";"120450991,48";"7779748,51";
"I";"Importación";"2006";"";"004";"Alemania";"23";"27572433,14";"69536637,52";
"I";"Importación";"2006";"";"004";"Alemania";"24";"625122421,77";"1330698,65";
"I";"Importación";"2006";"";"004";"Alemania";"25";"26052558,97";"126404665,11";
"I";"Importación";"2006";"";"004";"Alemania";"26";"9507738,22";"136417289,01";
"I";"Importación";"2006";"";"004";"Alemania";"27";"706549647,74";"1970649059,05";
"I";"Importación";"2006";"";"004";"Alemania";"28";"159766289,75";"182069799,39";
"I";"Importación";"2006";"";"004";"Alemania";"29";"750995192,24";"399961213,73";
"I";"Importación";"2006";"";"004";"Alemania";"30";"1120462841,66";"19148679,27";
"I";"Importación";"2006";"";"004";"Alemania";"31";"52093217,81";"147710900,79";
"I";"Importación";"2006";"";"004";"Alemania";"32";"414574506,39";"97493554,86";
"I";"Importación";"2006";"";"004";"Alemania";"33";"236284277,3";"34898236,95";
"I";"Importación";"2006";"";"004";"Alemania";"34";"187460629,55";"153129219,17";
"I";"Importación";"2006";"";"004";"Alemania";"35";"77937251,19";"34518593,18";
"I";"Importación";"2006";"";"004";"Alemania";"36";"1769452,65";"1413044,29";
"I";"Importación";"2006";"";"004";"Alemania";"37";"103713112,21";"5369519,29";
"I";"Importación";"2006";"";"004";"Alemania";"38";"512069787,35";"196722066,16";
"I";"Importación";"2006";"";"004";"Alemania";"39";"1947089001,11";"857738984,26";
"I";"Importación";"2006";"";"004";"Alemania";"40";"559752157,57";"103416458,24";
"I";"Importación";"2006";"";"004";"Alemania";"41";"15471440,52";"3559994,33";
"I";"Importación";"2006";"";"004";"Alemania";"42";"29857134,81";"1824359,41";
"I";"Importación";"2006";"";"004";"Alemania";"43";"4992837,56";"29064,64";
"I";"Importación";"2006";"";"004";"Alemania";"44";"190776077,62";"52326844,37";
"I";"Importación";"2006";"";"004";"Alemania";"45";"643173,6";"91376,26";
"I";"Importación";"2006";"";"004";"Alemania";"46";"855260,88";"105470,60";
"I";"Importación";"2006";"";"004";"Alemania";"47";"21445526,33";"29184598,95";
"I";"Importación";"2006";"";"004";"Alemania";"48";"613472837,74";"540596497,31";
"I";"Importación";"2006";"";"004";"Alemania";"49";"93070506,52";"16580740,31";
"I";"Importación";"2006";"";"004";"Alemania";"50";"1676239,28";"34322,3";
"I";"Importación";"2006";"";"004";"Alemania";"51";"9828461,15";"1013830,38";
"I";"Importación";"2006";"";"004";"Alemania";"52";"17047381,86";"2349409,72";
"I";"Importación";"2006";"";"004";"Alemania";"53";"1551390,82";"56555,22";
"I";"Importación";"2006";"";"004";"Alemania";"54";"87433129,51";"15542841,02";
"I";"Importación";"2006";"";"004";"Alemania";"55";"67252217,4";"21382583,75";
"I";"Importación";"2006";"";"004";"Alemania";"56";"70540823,28";"28395246,54";
"I";"Importación";"2006";"";"004";"Alemania";"57";"12713428,67";"38808,87";
"I";"Importación";"2006";"";"004";"Alemania";"58";"15083090,22";"1080588,82";
"I";"Importación";"2006";"";"004";"Alemania";"59";"48221417,16";"1207980,29";
"I";"Importación";"2006";"";"004";"Alemania";"60";"18780233,53";"1924300,98";
"I";"Importación";"2006";"";"004";"Alemania";"61";"82926766,9";"290394,07";
"I";"Importación";"2006";"";"004";"Alemania";"62";"93324905,56";"618261,62";
"I";"Importación";"2006";"";"004";"Alemania";"63";"36705139,1";"12123750,50";
"I";"Importación";"2006";"";"004";"Alemania";"64";"25258106,36";"828734,22";
"I";"Importación";"2006";"";"004";"Alemania";"65";"7378122,16";"147617,37";
"I";"Importación";"2006";"";"004";"Alemania";"66";"1865421,97";"193461,51";
"I";"Importación";"2006";"";"004";"Alemania";"67";"482018,85";"31320,58";
"I";"Importación";"2006";"";"004";"Alemania";"68";"100891354,73";"33509543,46";
"I";"Importación";"2006";"";"004";"Alemania";"69";"55635524,29";"32313687,29";
"I";"Importación";"2006";"";"004";"Alemania";"70";"145769047,35";"16439221,22";
"I";"Importación";"2006";"";"004";"Alemania";"71";"105174266,96";"931988,28";
"I";"Importación";"2006";"";"004";"Alemania";"72";"955411796,06";"1498885427,54";
"I";"Importación";"2006";"";"004";"Alemania";"73";"720423836,16";"306507749,02";
"I";"Importación";"2006";"";"004";"Alemania";"74";"290365132,95";"59198403,45";
"I";"Importación";"2006";"";"004";"Alemania";"75";"31010630,53";"1478168,29";
"I";"Importación";"2006";"";"004";"Alemania";"76";"337338605,28";"88634309,44";
"I";"Importación";"2006";"";"004";"Alemania";"78";"4906582,21";"3718858,6";
"I";"Importación";"2006";"";"004";"Alemania";"79";"14191950,24";"3882731,18";
"I";"Importación";"2006";"";"004";"Alemania";"80";"1455128,07";"161584,10";
"I";"Importación";"2006";"";"004";"Alemania";"81";"13354125,03";"1394353,02";
"I";"Importación";"2006";"";"004";"Alemania";"82";"262024638,59";"17799217,09";
"I";"Importación";"2006";"";"004";"Alemania";"83";"241910226,05";"43779222,77";
"I";"Importación";"2006";"";"004";"Alemania";"84";"5845117913,66";"264424570,23";
"I";"Importación";"2006";"";"004";"Alemania";"85";"3748978581,48";"122340443,29";
"I";"Importación";"2006";"";"004";"Alemania";"86";"82399259,35";"3696888,33";
"I";"Importación";"2006";"";"004";"Alemania";"87";"11547085313,65";"840644981,53";
"I";"Importación";"2006";"";"004";"Alemania";"88";"117298446,88";"342149,53";
"I";"Importación";"2006";"";"004";"Alemania";"89";"14763395,09";"210112,58";
"I";"Importación";"2006";"";"004";"Alemania";"90";"998916875,36";"18171575,97";
"I";"Importación";"2006";"";"004";"Alemania";"91";"38604358,61";"350453,53";
"I";"Importación";"2006";"";"004";"Alemania";"92";"9762534,63";"192472,20";
"I";"Importación";"2006";"";"004";"Alemania";"93";"16874741,75";"394188,14";
"I";"Importación";"2006";"";"004";"Alemania";"94";"376804919,59";"77460793,02";
"I";"Importación";"2006";"";"004";"Alemania";"95";"120274843,86";"9511882,37";
"I";"Importación";"2006";"";"004";"Alemania";"96";"84846365,53";"2707521,36";
"I";"Importación";"2006";"";"004";"Alemania";"97";"15465291,59";"25504,19";
"I";"Importación";"2006";"";"004";"Alemania";"98";"139575593,55";"5429783";
"I";"Importación";"2006";"";"004";"Alemania";"99";"171739777,85";"30871522,26";
"I";"Importación";"2006";"";"043";"Andorra";"01";"118727,78";"85100";
"I";"Importación";"2006";"";"043";"Andorra";"02";"164165,29";"48200";
"I";"Importación";"2006";"";"043";"Andorra";"04";"28620";"17160";
"I";"Importación";"2006";"";"043";"Andorra";"05";"15125";"175240";
"I";"Importación";"2006";"";"043";"Andorra";"07";"1326,24";"648";
"I";"Importación";"2006";"";"043";"Andorra";"09";"3788";"629";
"I";"Importación";"2006";"";"043";"Andorra";"12";"10174,06";"630";
"I";"Importación";"2006";"";"043";"Andorra";"15";"19087,61";"197257";
"I";"Importación";"2006";"";"043";"Andorra";"16";"7462,08";"2303";
"I";"Importación";"2006";"";"043";"Andorra";"17";"38686245,4";"70900667";
"I";"Importación";"2006";"";"043";"Andorra";"18";"1568518";"2615451";
"I";"Importación";"2006";"";"043";"Andorra";"19";"4356";"1292";
"I";"Importación";"2006";"";"043";"Andorra";"20";"3465,98";"2984";
"I";"Importación";"2006";"";"043";"Andorra";"21";"15481,68";"3679";
"I";"Importación";"2006";"";"043";"Andorra";"22";"36716,94";"18840,9";
"I";"Importación";"2006";"";"043";"Andorra";"24";"134852,49";"138359";
"I";"Importación";"2006";"";"043";"Andorra";"25";"95462,76";"118934624";
"I";"Importación";"2006";"";"043";"Andorra";"26";"253,6";"157020";
"I";"Importación";"2006";"";"043";"Andorra";"27";"1295,04";"260954";
"I";"Importación";"2006";"";"043";"Andorra";"28";"8751";"25740";
"I";"Importación";"2006";"";"043";"Andorra";"30";"8497,64";"4427";
"I";"Importación";"2006";"";"043";"Andorra";"32";"69561,36";"20035";
"I";"Importación";"2006";"";"043";"Andorra";"33";"409474,73";"12905,8";
"I";"Importación";"2006";"";"043";"Andorra";"34";"52078,96";"11502,2";
"I";"Importación";"2006";"";"043";"Andorra";"35";"1994,78";"637";
"I";"Importación";"2006";"";"043";"Andorra";"36";"730,5";"7";
"I";"Importación";"2006";"";"043";"Andorra";"37";"3074,42";"164";
"I";"Importación";"2006";"";"043";"Andorra";"38";"353715,31";"28420366";
"I";"Importación";"2006";"";"043";"Andorra";"39";"358450,3";"2973158,8";
"I";"Importación";"2006";"";"043";"Andorra";"40";"130650,99";"1539790";
"I";"Importación";"2006";"";"043";"Andorra";"41";"41544,88";"37461";
"I";"Importación";"2006";"";"043";"Andorra";"42";"270167,6";"5016,22";
"I";"Importación";"2006";"";"043";"Andorra";"44";"1741273,3";"6939158";
"I";"Importación";"2006";"";"043";"Andorra";"46";"12144,69";"1623";
"I";"Importación";"2006";"";"043";"Andorra";"47";"505075,74";"7795455";
"I";"Importación";"2006";"";"043";"Andorra";"48";"603919,81";"44038";
"I";"Importación";"2006";"";"043";"Andorra";"49";"1966390,79";"782385,1";
"I";"Importación";"2006";"";"043";"Andorra";"52";"1706,84";"419";
"I";"Importación";"2006";"";"043";"Andorra";"54";"1848,92";"440";
"I";"Importación";"2006";"";"043";"Andorra";"55";"636,28";"271";
"I";"Importación";"2006";"";"043";"Andorra";"56";"1039219,77";"178884";
"I";"Importación";"2006";"";"043";"Andorra";"57";"126670,8";"15650";
"I";"Importación";"2006";"";"043";"Andorra";"58";"577980,43";"65458";
"I";"Importación";"2006";"";"043";"Andorra";"59";"112486,31";"16269";
"I";"Importación";"2006";"";"043";"Andorra";"60";"213,61";"2";
"I";"Importación";"2006";"";"043";"Andorra";"61";"494553,75";"18475,75";
"I";"Importación";"2006";"";"043";"Andorra";"62";"1434612,53";"20376,19";
"I";"Importación";"2006";"";"043";"Andorra";"63";"1498769,6";"486268,33";
"I";"Importación";"2006";"";"043";"Andorra";"64";"301547,63";"11285,70";
"I";"Importación";"2006";"";"043";"Andorra";"65";"33377,15";"998,03";
"I";"Importación";"2006";"";"043";"Andorra";"66";"3826,67";"556,5";
"I";"Importación";"2006";"";"043";"Andorra";"67";"835,65";"105";
"I";"Importación";"2006";"";"043";"Andorra";"68";"106483,2";"217409";
"I";"Importación";"2006";"";"043";"Andorra";"69";"134580,8";"112116";
"I";"Importación";"2006";"";"043";"Andorra";"70";"484519,78";"3205475,8";
"I";"Importación";"2006";"";"043";"Andorra";"71";"441826,83";"359,69";
"I";"Importación";"2006";"";"043";"Andorra";"72";"1656051,65";"8756517";
"I";"Importación";"2006";"";"043";"Andorra";"73";"584806,78";"443097";
"I";"Importación";"2006";"";"043";"Andorra";"74";"256204,3";"144278";
"I";"Importación";"2006";"";"043";"Andorra";"76";"566143,82";"517583";
"I";"Importación";"2006";"";"043";"Andorra";"79";"2817";"2700";
"I";"Importación";"2006";"";"043";"Andorra";"82";"48569,79";"13941,6";
"I";"Importación";"2006";"";"043";"Andorra";"83";"40641,64";"7714";
"I";"Importación";"2006";"";"043";"Andorra";"84";"5930580,38";"603016,9";
"I";"Importación";"2006";"";"043";"Andorra";"85";"5680900,39";"798158,36";
"I";"Importación";"2006";"";"043";"Andorra";"87";"3244928,95";"522492,86";
"I";"Importación";"2006";"";"043";"Andorra";"89";"1632930,09";"150720";
"I";"Importación";"2006";"";"043";"Andorra";"90";"7120605,11";"12837,80";
"I";"Importación";"2006";"";"043";"Andorra";"91";"237221,73";"1404,15";
"I";"Importación";"2006";"";"043";"Andorra";"92";"58110,54";"1081";
"I";"Importación";"2006";"";"043";"Andorra";"93";"2664,14";"32";
"I";"Importación";"2006";"";"043";"Andorra";"94";"667304,72";"158083,00";
"I";"Importación";"2006";"";"043";"Andorra";"95";"488768,14";"23425,3";
"I";"Importación";"2006";"";"043";"Andorra";"96";"158204,6";"18813";
"I";"Importación";"2006";"";"043";"Andorra";"97";"103902";"1783";
"I";"Importación";"2006";"";"043";"Andorra";"99";"641354,6";"341175";
"I";"Importación";"2006";"";"330";"Angola";"03";"20639767,5";"1666577";
"I";"Importación";"2006";"";"330";"Angola";"09";"168856,75";"160200";
"I";"Importación";"2006";"";"330";"Angola";"25";"6114489,25";"33476306";
"I";"Importación";"2006";"";"330";"Angola";"27";"347429498,21";"948194674";
"I";"Importación";"2006";"";"330";"Angola";"30";"695,53";"4";
"I";"Importación";"2006";"";"330";"Angola";"39";"12606,27";"16168";
"I";"Importación";"2006";"";"330";"Angola";"44";"217157,94";"253040";
"I";"Importación";"2006";"";"330";"Angola";"49";"225,3";"14";
"I";"Importación";"2006";"";"330";"Angola";"56";"800";"1200";
"I";"Importación";"2006";"";"330";"Angola";"62";"95,37";"1";
"I";"Importación";"2006";"";"330";"Angola";"64";"6900";"150";
"I";"Importación";"2006";"";"330";"Angola";"68";"60";"120";
"I";"Importación";"2006";"";"330";"Angola";"72";"1566523,41";"8171068";
"I";"Importación";"2006";"";"330";"Angola";"73";"55,08";"1";
"I";"Importación";"2006";"";"330";"Angola";"84";"26105,81";"22853";
"I";"Importación";"2006";"";"330";"Angola";"85";"11416,16";"299";
"I";"Importación";"2006";"";"330";"Angola";"87";"3000";"4500";
"I";"Importación";"2006";"";"330";"Angola";"89";"300";"90";
"I";"Importación";"2006";"";"330";"Angola";"90";"6909,33";"489";
"I";"Importación";"2006";"";"330";"Angola";"92";"217,06";"6";
"I";"Importación";"2006";"";"330";"Angola";"97";"163,79";"8";
"I";"Importación";"2006";"";"330";"Angola";"99";"24740";"7416";
"I";"Importación";"2006";"";"459";"Antigua y Barbuda";"25";"107536,44";"354224";
"I";"Importación";"2006";"";"459";"Antigua y Barbuda";"63";"1228,89";"17";
"I";"Importación";"2006";"";"459";"Antigua y Barbuda";"65";"166,66";"1";
"I";"Importación";"2006";"";"459";"Antigua y Barbuda";"84";"1654,43";"110";
"I";"Importación";"2006";"";"459";"Antigua y Barbuda";"85";"3816,62";"148";
"I";"Importación";"2006";"";"459";"Antigua y Barbuda";"89";"68500600";"23481170";
"I";"Importación";"2006";"";"459";"Antigua y Barbuda";"97";"2592,34";"6,5";
"I";"Importación";"2006";"";"459";"Antigua y Barbuda";"99";"291,33";"2";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"03";"1814252,64";"1581566";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"18";"5978461,24";"10042340";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"25";"11355,21";"40000";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"27";"2169433,78";"10372913";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"35";"123,74";"1";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"49";"2629,03";"128";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"61";"452,01";"51";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"62";"372,87";"1";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"63";"1577,9";"1200";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"64";"2386";"0";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"69";"16789,83";"21641,68";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"70";"4149,13";"2312,5";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"71";"351,08";"1";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"82";"481,57";"1";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"84";"542761,28";"17949";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"85";"15196,49";"25";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"89";"282710,24";"38600";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"90";"54319,18";"5016";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"95";"103,31";"30";
"I";"Importación";"2006";"";"478";"Antillas Neerlandesas";"99";"9366,22";"1570";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"03";"514346,86";"89084";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"08";"22763,97";"28346";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"09";"47,87";"29";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"10";"473,34";"1000";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"17";"783462,91";"5600784";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"19";"71967,13";"58402";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"20";"78451,61";"54237";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"21";"4162,31";"2200";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"22";"1100,1";"1674";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"25";"753353,57";"2835653";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"27";"2682974937,73";"6887795193";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"28";"136304,39";"82900";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"29";"154672800,11";"339907406";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"30";"10157,4";"96";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"31";"50869,45";"18000";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"32";"3203045,68";"1913200";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"33";"111444,91";"1371,5";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"38";"18060";"8400";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"39";"192160766,77";"197877925";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"40";"45420,21";"17093";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"41";"2226788,09";"651125";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"42";"5363,94";"242";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"44";"1621,63";"275";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"48";"87599,85";"313318";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"49";"15726,3";"13012";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"51";"84701,74";"101356";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"52";"4594,96";"674";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"54";"128924,2";"76367";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"55";"11454,71";"12768";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"57";"88955,9";"41213";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"59";"1536,19";"55";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"61";"207205,05";"3384,1";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"62";"1430660,26";"29538,5";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"63";"36355,84";"1261";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"64";"56954,78";"1359";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"65";"47,95";"2";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"68";"23032,94";"33460";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"69";"2026,76";"9670";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"70";"3514617,9";"11281878";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"71";"161,86";"42";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"72";"5674799,84";"11991243";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"73";"1385,76";"774";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"74";"3443342,03";"657741";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"82";"14434,23";"788";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"83";"4722060,33";"983821";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"84";"2154288,31";"692030";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"85";"318481,04";"137251";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"87";"241095,29";"25897,18";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"88";"355515,19";"5056";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"90";"38061,64";"355,5";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"91";"6266,57";"738";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"94";"99711,64";"5934";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"96";"77,22";"2";
"I";"Importación";"2006";"";"632";"Arabia Saudí";"99";"488887,04";"588780";
"I";"Importación";"2006";"";"208";"Argelia";"03";"14691966,48";"1680843";
"I";"Importación";"2006";"";"208";"Argelia";"04";"39433,7";"58625";
"I";"Importación";"2006";"";"208";"Argelia";"06";"69170";"22000";
"I";"Importación";"2006";"";"208";"Argelia";"07";"215521,48";"178448";
"I";"Importación";"2006";"";"208";"Argelia";"08";"1083042,23";"896537,6";
"I";"Importación";"2006";"";"208";"Argelia";"09";"47109,25";"28000";
"I";"Importación";"2006";"";"208";"Argelia";"12";"3349827,06";"4732740";
"I";"Importación";"2006";"";"208";"Argelia";"14";"9904";"33620";
"I";"Importación";"2006";"";"208";"Argelia";"15";"153458,07";"44960";
"I";"Importación";"2006";"";"208";"Argelia";"17";"1371781,61";"11454870";
"I";"Importación";"2006";"";"208";"Argelia";"18";"33789,9";"45000";
"I";"Importación";"2006";"";"208";"Argelia";"19";"36983,86";"12804";
"I";"Importación";"2006";"";"208";"Argelia";"20";"34259,51";"48696";
"I";"Importación";"2006";"";"208";"Argelia";"21";"16389,44";"4860,5";
"I";"Importación";"2006";"";"208";"Argelia";"22";"57217,13";"166210,6";
"I";"Importación";"2006";"";"208";"Argelia";"25";"5727441,9";"132626556";
"I";"Importación";"2006";"";"208";"Argelia";"26";"692910,06";"478561";
"I";"Importación";"2006";"";"208";"Argelia";"27";"4422676334,97";"14079204084,84";
"I";"Importación";"2006";"";"208";"Argelia";"28";"49510847,52";"224718887";
"I";"Importación";"2006";"";"208";"Argelia";"29";"8143489,15";"27821832";
"I";"Importación";"2006";"";"208";"Argelia";"31";"5250362,99";"36090816";
"I";"Importación";"2006";"";"208";"Argelia";"33";"82835,24";"43710";
"I";"Importación";"2006";"";"208";"Argelia";"34";"141,14";"25";
"I";"Importación";"2006";"";"208";"Argelia";"38";"546605,8";"1613139";
"I";"Importación";"2006";"";"208";"Argelia";"39";"12706955,95";"12818387";
"I";"Importación";"2006";"";"208";"Argelia";"40";"9951,64";"2683";
"I";"Importación";"2006";"";"208";"Argelia";"41";"2517758,56";"1156591";
"I";"Importación";"2006";"";"208";"Argelia";"42";"628,25";"13";
"I";"Importación";"2006";"";"208";"Argelia";"44";"51240,9";"13626";
"I";"Importación";"2006";"";"208";"Argelia";"45";"6662382,8";"828776";
"I";"Importación";"2006";"";"208";"Argelia";"47";"55070";"764540";
"I";"Importación";"2006";"";"208";"Argelia";"48";"120606,58";"60700";
"I";"Importación";"2006";"";"208";"Argelia";"49";"2222,43";"505";
"I";"Importación";"2006";"";"208";"Argelia";"53";"126944";"443330";
"I";"Importación";"2006";"";"208";"Argelia";"54";"21132";"23000";
"I";"Importación";"2006";"";"208";"Argelia";"56";"26537,02";"12392";
"I";"Importación";"2006";"";"208";"Argelia";"57";"9809,41";"16100";
